Major area region country or area,Country Code,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Ukraine,804,-1,-1,-1,0,0,0,0,0,0,2,1,1,4,4,10,10,37,159,193,287,580,648,361
United Arab Emirates,784,0,0,0,0,0,0,0,0,0,0,0,8,1,3,1,2,1,2,1,1,2,-1,-1
United Kingdom,826,-1,-1,-1,3,26,77,158,297,638,756,843,1265,1350,1470,1601,1770,1571,1854,1378,963,790,737,446
United Republic of Tanzania,834,-1,-1,-1,-1,3,109,292,1121,2937,4839,5096,11106,18692,15871,13506,6096,4722,8426,10592,8675,8850,11673,-1
United States of America,840,-1,99,335,1201,3153,6360,12026,19372,29070,36064,43399,49446,60472,79477,79752,72737,69892,61109,50000,43894,46143,42156,-1
Uruguay,858,-1,-1,-1,-1,0,0,6,2,9,28,38,76,86,90,103,119,127,156,173,180,172,-1,-1
Uzbekistan,860,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,1,3,0
Vanuatu,548,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Venezuela (Bolivarian Republic of),862,-1,-1,-1,-1,0,0,55,128,292,607,458,625,731,886,978,1101,972,667,46,0,-1,-1,-1
Viet Nam,704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,106,118,201,390,688,953,970,1164,742
Occupied Palestinian Territory,275,0,0,0,0,0,0,0,0,0,4,1,0,1,6,1,3,3,1,9,3,1,-1,-1
Yemen,887,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,11,60,40,34,-1,-1,-1
Serbia,688,-1,-1,-1,0,0,0,2,3,9,26,32,48,54,87,54,101,99,92,56,114,57,66,22
Zambia,894,0,0,0,0,0,1,3,1584,3862,4477,4638,4702,5264,3376,2894,1963,5950,4552,1676,-1,-1,-1,-1
Zimbabwe,716,0,0,0,0,0,0,0,0,119,202,1311,4362,4557,8180,9174,10647,13356,12029,6732,4113,-1,-1,-1
Montenegro,499,-1,-1,-1,0,0,0,2,3,9,26,32,48,54,87,54,101,99,92,56,114,57,66,22
