cc,country,survyear,eppregion,Subnational region,survname,ISO3,Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
566,Nigeria,,Remaining Pop,Ekiti,Naomi,NGA,female,533,622,879,1366,1674,2090,2312,2519,2514,2826,3030
566,Nigeria,,Remaining Pop,Ekiti,Naomi,NGA,male,564,609,654,699,744,788,833,878,923,1055,1125
566,Nigeria,,Remaining Pop,Enugu,Naomi,NGA,female,0,0,8474,8663,14353,14704,15056,15407,15758,15823,23663
566,Nigeria,,Remaining Pop,Enugu,Naomi,NGA,male,0,0,5645,3443,5580,5777,5975,6172,6369,8866,13684
566,Nigeria,,Remaining Pop,FCT,Naomi,NGA,female,9146,10683,15089,22488,25725,29468,35933,36631,40414,36203,52177
566,Nigeria,,Remaining Pop,FCT,Naomi,NGA,male,8012,9351,7654,11881,12457,13391,17073,17766,18592,16878,22592
566,Nigeria,,Remaining Pop,Gombe,Naomi,NGA,female,230,269,380,10449,11791,15569,15716,15864,16011,17296,18523
566,Nigeria,,Remaining Pop,Gombe,Naomi,NGA,male,215,250,205,5002,6191,6815,6864,6913,6962,7980,9269
566,Nigeria,,Remaining Pop,Imo,Naomi,NGA,female,1253,1463,2067,6678,10330,10717,11105,11492,11879,17065,20578
566,Nigeria,,Remaining Pop,Imo,Naomi,NGA,male,1043,1217,996,3193,4602,4842,5081,5321,5560,8623,11095
566,Nigeria,,Remaining Pop,Jigawa,Naomi,NGA,female,997,1165,1645,2980,3276,3303,3951,4667,5055,5454,5270
566,Nigeria,,Remaining Pop,Jigawa,Naomi,NGA,male,1011,1180,966,1418,1583,1631,1854,2318,2512,2661,2743
566,Nigeria,,Remaining Pop,Kebbi,Naomi,NGA,female,3169,3701,5228,3210,3927,4609,5300,6012,4276,4962,5335
566,Nigeria,,Remaining Pop,Kebbi,Naomi,NGA,male,3539,4131,3381,1772,2034,2521,2850,3347,2203,2560,2998
566,Nigeria,,Remaining Pop,Kaduna,Naomi,NGA,female,17034,19896,28102,22600,23840,27166,27931,32880,28441,37479,42502
566,Nigeria,,Remaining Pop,Kaduna,Naomi,NGA,male,13699,15989,13087,13963,13672,13099,14432,15066,14043,17104,19245
566,Nigeria,,Remaining Pop,Kano,Naomi,NGA,female,5510,6436,9090,13659,15420,16375,18159,20508,21585,22685,21424
566,Nigeria,,Remaining Pop,Kano,Naomi,NGA,male,5740,6699,5483,7800,8768,9125,10058,10897,11611,11390,10921
566,Nigeria,,Remaining Pop,Kogi,Naomi,NGA,female,3013,3519,5152,6786,8419,10052,11685,13319,14952,16665,15768
566,Nigeria,,Remaining Pop,Kogi,Naomi,NGA,male,1992,2325,2819,3312,3806,4299,4793,5286,5780,6566,6218
566,Nigeria,,Remaining Pop,Katsina,Naomi,NGA,female,2272,2654,3749,5147,5890,7068,7732,6887,6468,6799,7523
566,Nigeria,,Remaining Pop,Katsina,Naomi,NGA,male,2387,2786,2280,3127,3890,4391,4699,2927,2835,3022,3200
566,Nigeria,,Remaining Pop,Kwara,Naomi,NGA,female,2286,2552,2819,3085,3352,3733,4113,4494,4494,6092,6284
566,Nigeria,,Remaining Pop,Kwara,Naomi,NGA,male,1074,1181,1288,1396,1503,1563,1622,1682,1682,2184,2172
566,Nigeria,,Remaining Pop,Lagos,Naomi,NGA,female,18990,22180,31329,33009,33256,31258,39000,45006,52403,56797,72061
566,Nigeria,,Remaining Pop,Lagos,Naomi,NGA,male,2135,2492,5265,8038,10811,13584,16357,19130,21903,28791,42237
566,Nigeria,,Remaining Pop,Nasarawa,Naomi,NGA,female,2553,2982,4212,8548,9050,14556,30025,34169,34235,34300,36336
566,Nigeria,,Remaining Pop,Nasarawa,Naomi,NGA,male,2201,2569,2103,5442,5762,7578,13634,14726,14903,15079,14847
566,Nigeria,,Remaining Pop,Niger,Naomi,NGA,female,0,0,0,12676,12967,13257,13548,13839,14129,14420,16450
566,Nigeria,,Remaining Pop,Niger,Naomi,NGA,male,0,0,0,5054,5241,5427,5614,5800,5987,6173,7574
566,Nigeria,,Remaining Pop,Ogun,Naomi,NGA,female,2439,2849,4024,4983,7175,8383,9414,11978,11978,13932,14158
566,Nigeria,,Remaining Pop,Ogun,Naomi,NGA,male,1537,1794,2185,2576,2967,3358,3749,4140,4140,4828,5077
566,Nigeria,,Remaining Pop,Ondo,Naomi,NGA,female,3443,3861,4279,4697,5115,5534,5952,6370,6788,7682,8745
566,Nigeria,,Remaining Pop,Ondo,Naomi,NGA,male,1689,1759,1829,1899,1969,2039,2109,2179,2249,2614,3158
566,Nigeria,,Remaining Pop,Osun,Naomi,NGA,female,1292,1751,2210,2669,3128,3587,4046,4505,4964,5462,6084
